model,var_level,var_distribution,distribution_specific_quantile_available,n_obs,observed_violations,expected_violations,violation_rate,kupiec_stat,kupiec_p_value,christoffersen_independence_stat,christoffersen_independence_p_value,christoffersen_conditional_coverage_stat,christoffersen_conditional_coverage_p_value,violation_cluster_count,max_violation_cluster_length,mean_violation_cluster_length,basel_traffic_light_zone,interpretation,normal_quantile,n00,n01,n10,n11
Refit-BestGARCHFamily-fixed_train_only,0.01,common_normal,False,745,15,7.45,0.020134228187919462,5.972636421235251,0.01452954207232434,0.6173275152899578,0.43204213507903166,6.5899639365252085,0.03706871345447983,15,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,714,15,15,0
Refit-OriginalARIMAGARCH-expanding_quarterly,0.01,common_normal,False,745,15,7.45,0.020134228187919462,5.972636421235251,0.01452954207232434,0.6173275152899578,0.43204213507903166,6.5899639365252085,0.03706871345447983,15,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,714,15,15,0
Refit-OriginalGARCH-expanding_quarterly,0.01,common_normal,False,745,15,7.45,0.020134228187919462,5.972636421235251,0.01452954207232434,0.6173275152899578,0.43204213507903166,6.5899639365252085,0.03706871345447983,15,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,714,15,15,0
ARIMA-GARCH,0.01,common_normal,False,745,16,7.45,0.021476510067114093,7.4594906207769895,0.006310286031210278,0.7033533335125526,0.4016592144647607,8.162843954289542,0.016883440708480166,16,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,712,16,16,0
AdvGARCH-BestSymmetric,0.01,common_normal,False,745,16,7.45,0.021476510067114093,7.4594906207769895,0.006310286031210278,0.7033533335125526,0.4016592144647607,8.162843954289542,0.016883440708480166,16,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,712,16,16,0
ComboPair-GARCH11_ARIMAGARCH,0.01,common_normal,False,745,16,7.45,0.021476510067114093,7.4594906207769895,0.006310286031210278,0.7033533335125526,0.4016592144647607,8.162843954289542,0.016883440708480166,16,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,712,16,16,0
"GARCH(1,1)",0.01,common_normal,False,745,16,7.45,0.021476510067114093,7.4594906207769895,0.006310286031210278,0.7033533335125526,0.4016592144647607,8.162843954289542,0.016883440708480166,16,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,712,16,16,0
HAR-Parkinson,0.01,common_normal,False,745,16,7.45,0.021476510067114093,7.4594906207769895,0.006310286031210278,0.7033533335125526,0.4016592144647607,8.162843954289542,0.016883440708480166,16,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,712,16,16,0
HistoricalMean,0.01,common_normal,False,745,17,7.45,0.022818791946308724,9.074169813035581,0.002592452421968538,0.7142291718981539,0.39804339438559333,9.788398984933735,0.00748990254814017,16,2,1.0625,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,711,16,16,1
EWMA(lambda=0.90),0.01,common_normal,False,745,18,7.45,0.024161073825503355,10.80931125901779,0.001009908666537184,0.8926534507039605,0.34475925951967723,11.70196470972175,0.0028770714642782423,18,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,708,18,18,0
RollingVol-20,0.01,common_normal,False,745,20,7.45,0.026845637583892617,14.615499522995208,0.0001318258509465679,1.105112953089673,0.2931467566868951,15.72061247608488,0.0003857557202051674,20,1,1.0,red,reject_unconditional_coverage_5pct,-2.3263478740408408,704,20,20,0
RollingVol-10,0.01,common_normal,False,745,27,7.45,0.036241610738255034,30.95447886092498,2.6415179001714407e-08,2.033953667876375,0.15382000552204395,32.988432528801354,6.865195245653906e-08,27,1,1.0,red,reject_unconditional_coverage_5pct,-2.3263478740408408,690,27,27,0
RollingVol-5,0.01,common_normal,False,745,45,7.45,0.06040268456375839,88.70539468838189,4.5821392356849956e-21,0.6041998398328019,0.4369800687513429,89.30959452821469,4.042666891203099e-20,41,2,1.0975609756097562,red,reject_unconditional_coverage_5pct,-2.3263478740408408,658,41,41,4
