candidate_id,candidate_type,mean_label,arch_mean,arch_lags,arima_p,arima_q,volatility_label,arch_vol,p,o,q,distribution,volatility_group,is_asymmetric,is_heavy_tail,status,forecast_policy,validation_n_obs,validation_RMSE,validation_MAE,validation_QLIKE,test_n_obs,test_RMSE,test_MAE,test_QLIKE,warnings,aic,bic,converged,loglikelihood,n_params,fit_rows,context_rows,arima_aic,arima_bic,arima_converged,arima_warnings,garch_warnings,garch_aic,garch_bic,garch_converged,garch_loglikelihood,garch_n_params
direct_zero_garch_1_3_t,direct_arch,Zero,Zero,0,,,"GARCH(1,3)",GARCH,1,0,3,t,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.721693881211235,2.378638309313676,1.636884216616562,745,3.6342182709556776,1.4192505756015952,1.0729218761856711,,6938.301689447028,6973.17595868296,True,-3463.150844723514,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_1_3_skewt,direct_arch,Zero,Zero,0,,,"GARCH(1,3)",GARCH,1,0,3,skewt,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.722279188066983,2.3857114138898603,1.633281992164923,745,3.6370114851508375,1.4244319790998408,1.0723840629261039,,6907.436244839456,6948.122892281376,True,-3446.718122419728,7.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_1_3_ged,direct_arch,Zero,Zero,0,,,"GARCH(1,3)",GARCH,1,0,3,ged,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.7187288571561,2.3696208902511833,1.634521237199592,745,3.6328690081750006,1.4144772840584994,1.0714852254283156,,6953.802102500575,6988.676371736507,True,-3470.9010512502873,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_2_1_normal,direct_arch,Zero,Zero,0,,,"GARCH(2,1)",GARCH,2,0,1,normal,GARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.7161844758597065,2.364230248898661,1.630841638581495,745,3.635108389644129,1.412447126475876,1.0692978491103584,,7031.6414638288625,7054.890976652817,True,-3511.8207319144312,4.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_2_1_t,direct_arch,Zero,Zero,0,,,"GARCH(2,1)",GARCH,2,0,1,t,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.721503575912434,2.3798847437537933,1.638145993732743,745,3.6341393897380057,1.4196494024659603,1.0719699587902194,,6936.252294573735,6965.314185603677,True,-3463.1261472868673,5.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_2_1_skewt,direct_arch,Zero,Zero,0,,,"GARCH(2,1)",GARCH,2,0,1,skewt,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.72211484059274,2.3866079266405102,1.6340081723331799,745,3.6379924124012097,1.4248630932585744,1.0718730697812378,,6905.445329199576,6940.319598435508,True,-3446.722664599788,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_2_1_ged,direct_arch,Zero,Zero,0,,,"GARCH(2,1)",GARCH,2,0,1,ged,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.718423577566389,2.3705808000753543,1.6355901749226656,745,3.633521369177709,1.4148394459492666,1.0707483433964429,,6951.798618971392,6980.860510001335,True,-3470.899309485696,5.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_2_2_normal,direct_arch,Zero,Zero,0,,,"GARCH(2,2)",GARCH,2,0,2,normal,GARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.716658543399685,2.365165673093157,1.6312958006233835,745,3.6317874882398837,1.412220427485519,1.0683649967326319,,7033.603434160801,7062.665325190744,True,-3511.8017170804005,5.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_2_2_t,direct_arch,Zero,Zero,0,,,"GARCH(2,2)",GARCH,2,0,2,t,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.722116311089246,2.3804508507327085,1.6385815718803585,745,3.628990512438096,1.4191954000370863,1.0709053892795002,,6938.146613311976,6973.020882547908,True,-3463.073306655988,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_2_2_skewt,direct_arch,Zero,Zero,0,,,"GARCH(2,2)",GARCH,2,0,2,skewt,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.722298079428948,2.3869375177942787,1.6342668743750577,745,3.6354818452158293,1.4246643524639602,1.0712731346382862,,6907.411396309641,6948.098043751561,True,-3446.7056981548203,7.0,2471.0,3968.0,,,,,,,,,,
