model,alpha,tail_convention,var_distribution,mean_mapping,n_obs,var_violations,expected_violations,violation_ratio,violation_rate,kupiec_uc_p_value,christoffersen_independence_p_value,christoffersen_cc_p_value,quantile_loss,var_forecast_average,es_forecast_average,realized_return_average_on_exceedance_dates,es_calibration_error_on_exceedances,es_diagnostic_label,n00,n01,n10,n11
EWMA(lambda=0.90),0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,27,18.625,1.4496644295302012,0.036241610738255034,0.06524112538141143,0.9831913359543621,0.1827462697958539,0.09440856065256646,-1.9710333882294009,-2.3510061383124077,-2.926424821652915,-0.8620340542259058,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,691,26,26,1
RollingVol-20,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,28,18.625,1.5033557046979866,0.03758389261744966,0.04035946424807943,0.9562508530187996,0.12210681396460975,0.09750972506433918,-1.938215116218661,-2.31186121088154,-2.929322529809906,-0.9349984789619443,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,689,27,27,1
RollingVol-10,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,36,18.625,1.9328859060402686,0.04832214765100671,0.00029247408701320505,0.055646860512013945,0.0002270610375086509,0.09692098118057585,-1.8600615072778335,-2.218641270799141,-2.541980904605745,-0.7100968747899865,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,672,36,36,0
RollingVol-5,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,57,18.625,3.0604026845637584,0.07651006711409396,3.6400685148029164e-13,0.8473622116400858,3.314527246051259e-12,0.10702456336515417,-1.752151502267021,-2.089928542906875,-2.0353764087252117,-0.5651744449559475,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,634,53,53,4
EWMA(lambda=0.90),0.05,lower_tail_return,common_normal_zero_mean,zero_mean,745,38,37.25,1.0201342281879195,0.05100671140939597,0.899985476138744,0.9644782944175919,0.9911500366858231,0.14154635857331435,-1.6541433633702185,-2.074362511757907,-2.5532680618320684,-0.709504214355946,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,670,36,36,2
ARIMA-GARCH,0.05,lower_tail_return,common_normal_zero_mean,zero_mean,745,35,37.25,0.9395973154362416,0.04697986577181208,0.7025103516368938,0.5708741893418507,0.7917197697313111,0.14051747163397443,-1.7052668107746416,-2.1384733773067643,-2.779670869348006,-0.6727040307432304,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,675,34,34,1
"GARCH(1,1)",0.05,lower_tail_return,common_normal_zero_mean,zero_mean,745,35,37.25,0.9395973154362416,0.04697986577181208,0.7025103516368938,0.5708741893418507,0.7917197697313111,0.1403955550580467,-1.704364492661337,-2.137341833989923,-2.747517358339723,-0.6788222683419171,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,675,34,34,1
AdvGARCH-BestAsymmetric,0.05,lower_tail_return,common_normal_zero_mean,zero_mean,745,34,37.25,0.912751677852349,0.04563758389261745,0.5794746706215251,0.6203220256527404,0.7586232855501056,0.13845030134291575,-1.646177480091112,-2.0643729727535307,-2.830039832999514,-0.72484410577067,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,677,33,33,1
AdvGARCH-BestQLIKE,0.05,lower_tail_return,common_normal_zero_mean,zero_mean,745,34,37.25,0.912751677852349,0.04563758389261745,0.5794746706215251,0.6203220256527404,0.7586232855501056,0.1384401979283812,-1.6454698269781964,-2.0634855472006626,-2.830039832999514,-0.7255387347476016,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,677,33,33,1
RollingVol-20,0.05,lower_tail_return,common_normal_zero_mean,zero_mean,745,41,37.25,1.1006711409395973,0.05503355704697987,0.5347514465104436,0.2632264632275044,0.4410789642801801,0.1438537591801763,-1.6266014012867607,-2.039823780163458,-2.4049488927456415,-0.7317654143934303,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,666,37,37,4
HAR-Parkinson,0.05,lower_tail_return,common_normal_zero_mean,zero_mean,745,33,37.25,0.8859060402684564,0.04429530201342282,0.46663175603992935,0.23859232628489946,0.3831164363897572,0.13897797730448014,-1.713336222571541,-2.148592745249166,-2.9272120322803032,-0.663782339158118,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,681,30,30,3
HAR-SquaredReturn,0.05,lower_tail_return,common_normal_zero_mean,zero_mean,745,31,37.25,0.8322147651006712,0.04161073825503356,0.2798502716136477,0.5446595619922735,0.46422110970152186,0.14228202220806893,-1.7150664103760813,-2.1507624705580572,-2.990408297895775,-0.835496953871118,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,684,29,29,2
HistoricalMean,0.05,lower_tail_return,common_normal_zero_mean,zero_mean,745,30,37.25,0.8053691275167785,0.040268456375838924,0.2077923792030123,0.14720222492519955,0.1582034115351846,0.14803880096328154,-1.8009253719631677,-2.2584330722475268,-3.1517117655821143,-0.8932786933345879,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,687,27,27,3
RollingVol-10,0.05,lower_tail_return,common_normal_zero_mean,zero_mean,745,48,37.25,1.2885906040268456,0.06442953020134229,0.08301694680621093,0.14421228123292365,0.07664079022858207,0.14439079856331433,-1.5610128250987987,-1.9575730595447312,-2.2058668072232863,-0.6608098288270735,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,649,47,47,1
RegimeAwareCombo-Vol20Q75,0.05,lower_tail_return,common_normal_zero_mean,zero_mean,745,23,37.25,0.6174496644295302,0.03087248322147651,0.010164993515991507,0.738111343706733,0.034777933743370376,0.14373170124058476,-1.9192730332750119,-2.40684581410282,-3.434688991255551,-0.9216196951775928,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,699,22,22,1
