model,split,regime,threshold_source,q50,q75,q90,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio
Calibrated-Hybrid-LogTarget-affine_nonnegative,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,10.877634154330387,5.762421792928304,4.374251813493959,7.95855861532247,2.3750330724537494,0.29842502735120163
Calibrated-Hybrid-LogTarget-affine_nonnegative,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.6922311476576676,0.5518162883629795,1.4565888144316235,1.524715411321571,1.9709363616053879,1.2926585164486846
Calibrated-Hybrid-LogTarget-affine_nonnegative,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.3203357856209519,1.2468405205302484,0.8978953601742259,0.5675483883492694,1.8143889088795175,3.196888487617275
Calibrated-Hybrid-LogTarget-isotonic,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.801095450779219,1.6347708902181628,0.5168651971205114,0.08384782905334565,1.7186187192715083,20.49687795945306
Calibrated-Hybrid-LogTarget-isotonic,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,10.813805643546988,5.672187015068053,4.49215641133969,7.95855861532247,2.644487807288016,0.3322822555075024
Calibrated-Hybrid-LogTarget-isotonic,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,1.1457150704315968,0.877750752742136,1.5110541119968735,1.524715411321571,2.2009782685554518,1.443533824222134
Calibrated-Hybrid-LogTarget-isotonic,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.6224564989803085,1.394511317437899,0.9283725573789392,0.5675483883492694,1.9620597057871678,3.4570791602349087
Calibrated-Hybrid-LogTarget-scale_mean,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.7631478440295016,1.7102747894848385,0.609452846380649,0.08384782905334565,1.794122618538184,21.39736518874839
Calibrated-Hybrid-LogTarget-scale_mean,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,10.824611865825535,5.687889382389165,4.272094155307695,7.95855861532247,2.473401944068182,0.31078516394993755
Calibrated-Hybrid-LogTarget-scale_mean,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.759160723756353,0.6089165194380198,1.4649882595333852,1.524715411321571,2.0525683978762226,1.3461977118058555
Calibrated-Hybrid-LogTarget-scale_mean,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.3962526911775783,1.3219886907625995,0.9255594724633056,0.5675483883492694,1.8895370791118689,3.329296880936692
