model,split,model_group,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,extreme_regime_qlike,spike90_underprediction_rate,spike90_severe_underprediction_rate,spike90_average_pred_actual_ratio,var1_violation_rate,var1_kupiec_p_value
Calibrated-Hybrid-QLIKE-isotonic,test,neural_or_hybrid,726,3.6632156900737862,1.6261022338779507,1.1034729304844182,1.2119119537615395,1.6549839516723273,1.3655975143537271,4.738181470109923,1.0,0.813953488372093,0.3279622087554634,0.0151515151515151,0.1948135521261446
ComboPair-BestGARCHFamily_BestCalibratedNeural,test,benchmark_garch_family,726,3.6567262678848875,1.5966973719248838,1.1090484278458674,1.2119119537615395,1.5779159808015066,1.3020054599708846,5.127762416076573,1.0,0.8837209302325582,0.2943846942614483,0.0179063360881542,0.0539976753820801
ComboStack-PoolC_GARCH_CalibratedNeural,test,benchmark_garch_family,726,3.657767797739559,1.6156101060052117,1.109833007195755,1.2119119537615395,1.6230773162160985,1.3392699949681837,4.898243714835747,1.0,0.8604651162790697,0.3074283579117223,0.0137741046831955,0.3336797522874875
Calibrated-LSTM-LogTarget-scale_mean,test,neural_or_hybrid,726,3.660321132935597,1.6596475174595569,1.1171438718896567,1.2119119537615395,1.6646008200717557,1.373532800716387,4.642763877996827,0.9767441860465116,0.8604651162790697,0.3037229689554589,0.0137741046831955,0.3336797522874875
Calibrated-Hybrid-LogTarget-Small-isotonic,test,neural_or_hybrid,726,3.6669142210757344,1.619575075428047,1.1186706368669244,1.2119119537615395,1.6066065595897965,1.3256792744746857,5.086723126957555,1.0,0.8837209302325582,0.2968284292444695,0.0165289256198347,0.106059777579162
Calibrated-LSTM-LogTarget-affine_nonnegative,test,neural_or_hybrid,726,3.664198199483546,1.6803122574250178,1.1245976523852417,1.2119119537615395,1.6937870216114805,1.39761557459211,4.593081298777295,0.9767441860465116,0.8372093023255814,0.3079334292585708,0.0137741046831955,0.3336797522874875
Calibrated-LSTM-LogTarget-scale_qlike,test,neural_or_hybrid,726,3.6626465047711685,1.684010892325915,1.12475012929135,1.2119119537615395,1.7009381519555904,1.4035162758121236,4.579963724940639,0.9767441860465116,0.8372093023255814,0.3103530764206244,0.0137741046831955,0.3336797522874875
Calibrated-LSTM-isotonic,test,neural_or_hybrid,726,3.7287897834499826,1.5926507749218028,1.1251244637744555,1.2119119537615395,1.5151794327790318,1.2502388709643542,5.195351574937577,1.0,0.9069767441860463,0.2570101879286073,0.0151515151515151,0.1948135521261446
Calibrated-ARIMA-GARCH-LSTM-isotonic,test,benchmark_garch_family,726,3.685043631864458,1.580443552765957,1.1261709683453613,1.2119119537615395,1.5159332664942011,1.2508608911637833,5.176771172202376,1.0,0.9302325581395348,0.2650310839132818,0.0151515151515151,0.1948135521261446
Calibrated-Hybrid-LogTarget-Small-scale_qlike,test,neural_or_hybrid,726,3.703773615441907,1.65061416073263,1.1291280882068437,1.2119119537615395,1.6342435494211491,1.3484837280041462,4.897987115456018,1.0,0.8837209302325582,0.2945783786147468,0.0137741046831955,0.3336797522874875
Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,test,neural_or_hybrid,726,3.704611742562957,1.658256258400555,1.1312821946269518,1.2119119537615395,1.645580763071313,1.3578385442636733,4.875523928380934,1.0,0.8837209302325582,0.2966219528520489,0.0137741046831955,0.3336797522874875
Calibrated-Hybrid-LogTarget-Small-scale_mean,test,neural_or_hybrid,726,3.7065158094110164,1.6744955986098344,1.135897993637907,1.2119119537615395,1.669571933544882,1.3776346774721173,4.829148313623096,1.0,0.8837209302325582,0.3009464491008958,0.0137741046831955,0.3336797522874875
Calibrated-LSTM-QLIKE-isotonic,test,neural_or_hybrid,726,3.7021904752398616,1.6648306780517066,1.1373000209295079,1.2119119537615395,1.6449929617952341,1.3573535244779913,4.780353456575679,1.0,0.8837209302325582,0.2813959927252478,0.0137741046831955,0.3336797522874875
LSTM,test,neural_or_hybrid,726,3.7697162146360066,1.6397344591598928,1.1610005135850472,1.2119119537615395,1.5685885013299212,1.2943089606974558,5.099183643837867,1.0,0.9302325581395348,0.2543229954230906,0.0151515151515151,0.1948135521261446
Calibrated-Hybrid-LogTarget-affine_nonnegative,test,neural_or_hybrid,726,3.7193318709597984,1.793117657581467,1.1673609945434102,1.2119119537615395,1.8483298215856903,1.5251353993570518,4.374251813493959,0.9767441860465116,0.8837209302325582,0.3299723131514007,0.0137741046831955,0.3336797522874875
Calibrated-Hybrid-LogTarget-isotonic,test,neural_or_hybrid,726,3.7728558856506798,1.8675111919105976,1.1678764577348923,1.2119119537615395,1.9444933912687168,1.6044840429483236,4.49215641133969,0.9534883720930232,0.7441860465116279,0.3555890052513635,0.0110192837465564,0.7859536730547492
ARIMA-GARCH-LSTM,test,benchmark_garch_family,726,3.7632527171713455,1.7201126142672403,1.1686091687616968,1.2119119537615395,1.701790788777932,1.4042198226495775,4.79289611043111,1.0,0.9069767441860463,0.2854865220075049,0.0151515151515151,0.1948135521261446
Calibrated-Hybrid-LogTarget-scale_qlike,test,neural_or_hybrid,726,3.7215140679391845,1.8055780497805995,1.1712243305232213,1.2119119537615395,1.8656304304399982,1.539410866151987,4.350285528345962,0.9767441860465116,0.8837209302325582,0.3330608971562219,0.0137741046831955,0.3336797522874875
