proxy,model,split,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,qlike_rank
yang_zhang_10,ComboPair-GARCH11_ARIMAGARCH,validation,750,0.9339958149515462,0.5474875530362133,1.3034006911257305,1.9036667128383755,1.9923226258746338,1.0465711316158237,1.0
yang_zhang_10,ComboPair-GARCH11_HybridQLIKE,test,725,1.2245022728615234,0.6883572881212838,0.8768496220089216,1.1018197919866586,1.4634443498390828,1.3282066273291295,23.0
yang_zhang_10,ComboPair-GARCH11_HybridQLIKE,validation,731,1.050637011706968,0.6676230629554762,1.3663378004531137,1.9331840632223778,1.9909913971621227,1.029902653885625,18.0
yang_zhang_10,ComboStack-PoolA_Econometric,test,744,1.208053487275709,0.5555972181595951,0.7824254397449482,1.0963855638055875,1.2684850298536232,1.1569698395614343,16.0
yang_zhang_10,ComboStack-PoolA_Econometric,validation,750,1.1081623500546356,0.6117905448331122,1.314360905495492,1.9036667128383755,1.8271340746738927,0.9597972493565471,14.0
yang_zhang_10,ComboStack-PoolB_GARCH_Neural,test,725,1.3643194156484135,0.7309722921371413,0.87462514953327,1.1018197919866586,1.4452116235342742,1.3116587976046936,22.0
yang_zhang_10,ComboStack-PoolB_GARCH_Neural,validation,731,1.1907528097065863,0.7160152079729151,1.368879715923835,1.9331840632223778,1.9226242699525218,0.9945376162204368,22.0
yang_zhang_10,ComboStack-PoolC_GARCH_CalibratedNeural,test,725,1.7370850624613792,0.9733920497594465,1.0036710129981399,1.1018197919866586,1.623135459059405,1.4731405905613453,33.0
yang_zhang_10,ComboStack-PoolC_GARCH_CalibratedNeural,validation,731,1.2941069321686054,0.8322157666285566,1.3906999554304587,1.9331840632223778,2.157600260684686,1.1160863063852462,30.0
yang_zhang_10,ComboStack-PoolD_AllStable,test,725,1.7323731405871172,1.0150608528162242,1.0134233976540994,1.1018197919866586,1.6943126087567644,1.5377402194798113,34.0
yang_zhang_10,ComboStack-PoolD_AllStable,validation,731,1.2367408103829254,0.8098277963787661,1.3904026841048447,1.9331840632223778,2.157600260684685,1.1160863063852458,29.0
yang_zhang_10,EWMA(lambda=0.90),test,744,0.907994910550739,0.42835450402837455,0.7303007505817288,1.0963855638055875,1.232595496787864,1.1242354309276819,1.0
yang_zhang_10,EWMA(lambda=0.90),validation,750,1.0239901750518208,0.6237979160609,1.3212797699418863,1.9036667128383755,2.103431477799182,1.104936837742441,16.0
yang_zhang_10,"GARCH(1,1)",test,744,0.9020809932071899,0.43931132122862965,0.7392400405613045,1.0963855638055875,1.2536803393613891,1.1434666605877468,2.0
yang_zhang_10,"GARCH(1,1)",validation,750,0.9339958149515462,0.5474875530362133,1.3034006911257305,1.9036667128383755,1.9923226258746338,1.0465711316158237,1.0
yang_zhang_10,HAR-Parkinson,test,744,1.5981878018146276,0.5868717977688237,0.8293072189140518,1.0963855638055875,1.1798530498857345,1.0761296836036667,19.0
yang_zhang_10,HAR-Parkinson,validation,750,1.215017092628855,0.6959117305910532,1.3460447940945235,1.9036667128383755,1.8453875040603724,0.969385812976102,17.0
yang_zhang_10,HistoricalMean,test,744,1.9492617559453396,0.8753524527729509,1.0958883317406891,1.0963855638055875,1.198772908441445,1.0933862575501887,51.0
yang_zhang_10,HistoricalMean,validation,750,2.173979173221407,1.2479365183406168,1.7693112489155147,1.9036667128383755,1.198772908441445,0.629717849430728,70.0
yang_zhang_10,Hybrid-LogTarget,test,725,2.068238235744546,0.7696725167526632,1.8167838841518211,1.1018197919866586,0.3395427748734036,0.30816543444112954,74.0
yang_zhang_10,Hybrid-LogTarget,validation,731,2.4248128789038197,1.5529074010544064,3.60079588376386,1.9331840632223778,0.380532799391802,0.1968425079800736,73.0
yang_zhang_10,Hybrid-LogTarget-Small,test,725,2.0503339645130456,0.7746637422793579,1.707483092952341,1.1018197919866586,0.33371015323661485,0.30287180867836105,72.0
yang_zhang_10,Hybrid-LogTarget-Small,validation,731,2.353294602554301,1.5019802130557545,3.0954709290865834,1.9331840632223778,0.4312038501666229,0.2230536959051171,72.0
yang_zhang_10,Hybrid-QLIKE,test,725,2.0273244889754496,1.2802367748056593,1.1704801202777586,1.1018197919866586,1.8775071469668685,1.704005646496503,63.0
yang_zhang_10,Hybrid-QLIKE,validation,731,1.717012295730544,1.1895608231648958,1.5302158661851475,1.9331840632223778,1.9335374959353384,1.0001828241395554,62.0
yang_zhang_10,LSTM,test,725,1.8950219158560986,1.0090017687961275,1.0668978594976888,1.1018197919866586,1.5682766028108268,1.4233512723374788,46.0
yang_zhang_10,LSTM,validation,731,1.6018959387334017,1.0469591844344155,1.4781212217852426,1.9331840632223778,1.8128730878131987,0.9377653800804484,50.0
yang_zhang_10,LSTM-LogTarget,test,725,2.048173249217014,0.7958375411035851,1.8112094652720312,1.1018197919866586,0.30950920808918864,0.2809072866000363,73.0
yang_zhang_10,LSTM-LogTarget,validation,731,2.3755991901291504,1.5327589456379689,3.808897434682504,1.9331840632223778,0.40118935778890025,0.20752775973135607,74.0
yang_zhang_10,LSTM-LogTarget-Small,test,725,2.0915781386821144,0.7738560247418089,1.8890042771538478,1.1018197919866586,0.34277982299294196,0.31110334510772025,75.0
yang_zhang_10,LSTM-LogTarget-Small,validation,731,2.567031140279607,1.594085068107194,4.035212689090262,1.9331840632223778,0.34021597985819374,0.17598737043750295,75.0
yang_zhang_10,LSTM-QLIKE,test,725,1.9584247694994408,1.1044997437931727,1.1136888192133867,1.1018197919866586,1.6668732187665742,1.5128365190836557,54.0
yang_zhang_10,LSTM-QLIKE,validation,731,1.7200802797269836,1.1392803781193257,1.5112202122526517,1.9331840632223778,1.7742423910938112,0.917782442369388,59.0
yang_zhang_10,Refit-BestAsymmetric-rolling_1000_monthly,test,744,1.2197229035204054,0.5989871522184214,0.8003468960001899,1.0963855638055875,1.3179696504320788,1.202104162934585,17.0
yang_zhang_10,Refit-BestAsymmetric-rolling_1000_monthly,validation,750,1.1189479173986652,0.6326178197454995,1.3188814669302755,1.9036667128383755,1.888066020004992,0.9918049242925917,15.0
yang_zhang_10,Refit-BestGARCHFamily-fixed_train_only,test,744,1.211158155728652,0.4581946989568537,0.7423179712511931,1.0963855638055875,1.1319482040463076,1.03243625364537,8.0
yang_zhang_10,Refit-BestGARCHFamily-fixed_train_only,validation,750,1.1490566798624697,0.5994341996338176,1.314108810683774,1.9036667128383755,1.6590120539627702,0.8714824095911073,11.0
yang_zhang_10,Refit-OriginalARIMAGARCH-expanding_quarterly,test,744,0.9526923658768476,0.4777545630768172,0.757217128568798,1.0963855638055875,1.2898803408026,1.1764842436682459,14.0
yang_zhang_10,Refit-OriginalARIMAGARCH-expanding_quarterly,validation,750,0.9924061198496853,0.5705644602505272,1.3097696597485238,1.9036667128383755,1.9831854123896653,1.0417713347693762,9.0
yang_zhang_10,Refit-OriginalGARCH-expanding_quarterly,test,744,0.9164714477763883,0.4718530626326764,0.7560220444525897,1.0963855638055875,1.2954787886862393,1.1815905202085963,13.0
