base_model,model,method,pred_actual_ratio,spike_underprediction_rate,extreme_threshold_p90,test_QLIKE,test_MAE
Hybrid-QLIKE,Calibrated-Hybrid-QLIKE-scale_qlike,scale_qlike,1.6264940766211762,0.9866666666666667,2.3761147014451307,1.259125440033134,1.9387720443214664
Hybrid-QLIKE,Calibrated-Hybrid-QLIKE-scale_mean,scale_mean,1.7158454038704465,0.9866666666666667,2.3761147014451307,1.2821258122189176,2.021119598230064
Hybrid-QLIKE,Calibrated-Hybrid-QLIKE-affine_nonnegative,affine_nonnegative,1.61320563643706,0.9866666666666667,2.3761147014451307,1.256761710120776,1.92753924371418
Hybrid-QLIKE,Calibrated-Hybrid-QLIKE-isotonic,isotonic,1.3575765182545156,0.9733333333333334,2.3761147014451307,1.1444889215780525,1.658917990082576
LSTM-LogTarget,LSTM-LogTarget,raw,0.25405198316996436,1.0,2.3761147014451307,2.351150650596246,1.1088059677957303
LSTM-LogTarget,Calibrated-LSTM-LogTarget-scale_qlike,scale_qlike,1.4286392888303405,0.96,2.3761147014451307,1.1362728505466688,1.7056877662015213
LSTM-LogTarget,Calibrated-LSTM-LogTarget-scale_mean,scale_mean,1.3677680337012097,0.96,2.3761147014451307,1.121047999729886,1.6558187634012012
LSTM-LogTarget,Calibrated-LSTM-LogTarget-affine_nonnegative,affine_nonnegative,1.4022229958336083,0.96,2.3761147014451307,1.1370048781330544,1.6905428319318103
LSTM-LogTarget,Calibrated-LSTM-LogTarget-isotonic,isotonic,1.3773018412440776,0.9333333333333333,2.3761147014451307,1.096090164674166,1.6615828838652789
LSTM-LogTarget-Small,LSTM-LogTarget-Small,raw,0.2829574528298131,1.0,2.3761147014451307,2.287846218515401,1.1228529143672132
LSTM-LogTarget-Small,Calibrated-LSTM-LogTarget-Small-scale_qlike,scale_qlike,1.744701511543189,0.92,2.3761147014451307,1.2727577328560633,2.038217842093073
LSTM-LogTarget-Small,Calibrated-LSTM-LogTarget-Small-scale_mean,scale_mean,1.8026960744430693,0.8666666666666667,2.3761147014451307,1.2878080260794542,2.092891200372245
LSTM-LogTarget-Small,Calibrated-LSTM-LogTarget-Small-affine_nonnegative,affine_nonnegative,1.7413632841511177,0.92,2.3761147014451307,1.2726610081463348,2.0354360575374666
LSTM-LogTarget-Small,Calibrated-LSTM-LogTarget-Small-isotonic,isotonic,1.7550647728230768,0.8133333333333334,2.3761147014451307,1.2164432037512203,2.0499195852309353
Hybrid-LogTarget,Hybrid-LogTarget,raw,0.2800775971998052,1.0,2.3761147014451307,2.106924666145761,1.1094974757279656
Hybrid-LogTarget,Calibrated-Hybrid-LogTarget-scale_qlike,scale_qlike,1.5749920716546726,0.9333333333333333,2.3761147014451307,1.1837365238075168,1.8380632687140839
Hybrid-LogTarget,Calibrated-Hybrid-LogTarget-scale_mean,scale_mean,1.5925997521269872,0.9333333333333333,2.3761147014451307,1.1885168005797313,1.8535736777711622
Hybrid-LogTarget,Calibrated-Hybrid-LogTarget-affine_nonnegative,affine_nonnegative,1.5491382966334524,0.9333333333333333,2.3761147014451307,1.1821184910022215,1.819671549521249
Hybrid-LogTarget,Calibrated-Hybrid-LogTarget-isotonic,isotonic,1.5954561801284322,0.8533333333333334,2.3761147014451307,1.1738049645036777,1.8615981164899784
Hybrid-LogTarget-Small,Hybrid-LogTarget-Small,raw,0.2778309823279895,1.0,2.3761147014451307,2.2391830711499203,1.1093605249092648
Hybrid-LogTarget-Small,Calibrated-Hybrid-LogTarget-Small-scale_qlike,scale_qlike,1.424887821124131,0.9733333333333334,2.3761147014451307,1.15103983521889,1.717473089271524
Hybrid-LogTarget-Small,Calibrated-Hybrid-LogTarget-Small-scale_mean,scale_mean,1.3949070844050921,0.9866666666666667,2.3761147014451307,1.1439500080327925,1.6926131978402665
