model,family,selected_by,uses_test_for_selection,validation_RMSE,validation_MAE,validation_QLIKE,test_RMSE,test_MAE,test_QLIKE,test_rank_QLIKE,test_rank_RMSE,test_rank_MAE,pred_actual_ratio,spike_underprediction_rate,included_in_MCS_90,included_in_MCS_95,notes
Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,calibrated_neural,validation_calibration,False,4.669303574933172,2.38356961627511,1.5553800161280065,3.704611742562957,1.658256258400555,1.1312821946269518,37.0,37.0,41.0,1.3578385442636733,0.9863013698630136,True,True,
Calibrated-Hybrid-LogTarget-Small-scale_mean,calibrated_neural,validation_calibration,False,4.66947731869501,2.39762199738288,1.5554846718901705,3.7065158094110164,1.6744955986098344,1.135897993637907,38.0,39.0,46.0,1.3776346774721173,0.9863013698630136,True,True,
Calibrated-LSTM-QLIKE-isotonic,calibrated_neural,validation_calibration,False,4.664167044199702,2.4384974222129276,1.5885942329465943,3.7021904752398616,1.6648306780517066,1.1373000209295079,39.0,35.0,43.0,1.3573535244779913,0.958904109589041,True,True,
ComboMedian-PoolD_AllStable,forecast_combination,validation_QLIKE_forecast_combination,False,4.70746867612992,2.3868367065869878,1.5828133502456188,3.7057642858365094,1.6997256893382664,1.1446701307431955,40.0,38.0,49.0,1.40958786542884,0.9726027397260274,True,True,
LSTM,original_neural_or_hybrid,original_existing_model,False,4.835781646060378,2.3925914264961663,1.6673171114763983,3.7697162146360066,1.6397344591598928,1.1610005135850472,41.0,48.0,37.0,1.2943089606974558,1.0,True,True,
Calibrated-Hybrid-LogTarget-affine_nonnegative,calibrated_neural,validation_calibration,False,4.719327958929896,2.400037154184027,1.5839184703424716,3.7193318709597984,1.793117657581467,1.1673609945434102,42.0,40.0,57.0,1.5251353993570518,0.9315068493150684,True,True,
Calibrated-Hybrid-LogTarget-isotonic,calibrated_neural,validation_calibration,False,4.579883056824019,2.3560888485707228,1.5242182605014956,3.7728558856506798,1.8675111919105976,1.1678764577348923,43.0,50.0,64.0,1.6044840429483236,0.8356164383561644,True,True,
ARIMA-GARCH-LSTM,original_neural_or_hybrid,original_existing_model,False,4.757122208641947,2.412675706091275,1.6152834550265276,3.7632527171713455,1.7201126142672403,1.1686091687616968,44.0,44.0,51.0,1.4042198226495775,1.0,True,True,
Calibrated-Hybrid-LogTarget-scale_qlike,calibrated_neural,validation_calibration,False,4.719084269115148,2.408653179049137,1.5839617635402599,3.7215140679391845,1.8055780497805995,1.1712243305232213,45.0,41.0,58.0,1.539410866151987,0.9315068493150684,True,True,
ComboMedian-PoolB_GARCH_Neural,forecast_combination,validation_QLIKE_forecast_combination,False,4.778091741149711,2.392853335641735,1.6228909383523968,3.7650043708964,1.7242855747188426,1.1733044003079365,46.0,45.0,52.0,1.4075916284897432,0.9863013698630136,True,True,
Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,calibrated_neural,validation_calibration,False,4.753293650248931,2.4315599557263234,1.6150923002074176,3.7668002822480866,1.7436829254499575,1.1753828013821073,47.0,46.0,53.0,1.431853798848527,1.0,True,True,
Calibrated-ARIMA-GARCH-LSTM-scale_qlike,calibrated_neural,validation_calibration,False,4.752630935860325,2.43502772395448,1.6150985466889212,3.767485349848276,1.7480112084279322,1.176638898734111,48.0,47.0,54.0,1.436928304139037,1.0,True,True,
Calibrated-Hybrid-LogTarget-scale_mean,calibrated_neural,validation_calibration,False,4.719175855971158,2.4389027118663216,1.5847310591530253,3.7296497954581698,1.8486030485439426,1.1845566594387769,49.0,43.0,61.0,1.5883032979577145,0.9315068493150684,True,True,
LSTM-QLIKE,original_neural_or_hybrid,original_existing_model,False,4.858825186521285,2.3881449107520685,1.6793709706894202,3.7824845578550947,1.7140734751998588,1.1858763490651132,50.0,51.0,50.0,1.3754957841548636,1.0,True,True,
HistoricalMean,baseline,original_existing_model,False,4.995057242648127,2.191503249542924,1.9616529499965452,3.7698344077665595,1.447044929332089,1.1910486529480493,51.0,49.0,21.0,0.9903439527094683,1.0,True,True,
Calibrated-LSTM-affine_nonnegative,calibrated_neural,validation_calibration,False,4.815350708383675,2.492470920873089,1.6614860427447709,3.7858303204074826,1.760308981614549,1.1947331338387612,52.0,53.0,55.0,1.4391594404369445,1.0,True,True,
Calibrated-LSTM-scale_qlike,calibrated_neural,validation_calibration,False,4.813964295062653,2.5018812707378815,1.6615268444713394,3.787689422450558,1.7715857549296956,1.1979578007462963,53.0,54.0,56.0,1.4522385394709392,1.0,True,True,
Calibrated-ARIMA-GARCH-LSTM-scale_mean,calibrated_neural,validation_calibration,False,4.742003532780911,2.5060170042190757,1.6176140569551813,3.783389202219532,1.8358945832750009,1.2024477548212331,54.0,52.0,59.0,1.5385484685513855,0.9726027397260274,True,True,
Calibrated-LSTM-LogTarget-Small-isotonic,calibrated_neural,validation_calibration,False,4.726030610643618,2.518706909664381,1.631877255394911,3.8975649115039235,2.0450107893472413,1.2091521864916113,55.0,71.0,72.0,1.7488439963452467,0.8082191780821918,True,True,
Calibrated-LSTM-scale_mean,calibrated_neural,validation_calibration,False,4.806609226015481,2.567529475771272,1.663746615914585,3.801956749851284,1.8483780275706518,1.2202344488212051,56.0,55.0,60.0,1.5404284887785311,1.0,True,True,
Calibrated-LSTM-QLIKE-scale_qlike,calibrated_neural,validation_calibration,False,4.836278099522896,2.49655650505177,1.671219224403042,3.807426607673847,1.8589650042904746,1.227070855116286,57.0,57.0,62.0,1.5433316536363066,1.0,True,True,
Hybrid-QLIKE,original_neural_or_hybrid,original_existing_model,False,4.81886156013633,2.4427896456157563,1.6595824324896817,3.807295921789446,1.862578359682915,1.2305083298195814,58.0,56.0,63.0,1.549292798881524,0.9863013698630136,True,True,
Calibrated-LSTM-QLIKE-affine_nonnegative,calibrated_neural,validation_calibration,False,4.834665573063049,2.5073998669170616,1.6711660587876975,3.8103628869747026,1.873142701501157,1.2311593233589233,59.0,58.0,65.0,1.5593004748078723,1.0,True,True,
Calibrated-Hybrid-QLIKE-scale_qlike,calibrated_neural,validation_calibration,False,4.814486950701762,2.4645630160569785,1.6590502577701929,3.814125439133243,1.8951567343513498,1.2397588108190973,60.0,59.0,66.0,1.5853804640865001,0.9863013698630136,True,True,
Calibrated-Hybrid-QLIKE-affine_nonnegative,calibrated_neural,validation_calibration,False,4.812469448018812,2.475716582731478,1.6589860124162539,3.8177244583703236,1.911601485328981,1.2444194621895985,61.0,60.0,67.0,1.603419276140428,0.9863013698630136,True,True,
Calibrated-LSTM-QLIKE-scale_mean,calibrated_neural,validation_calibration,False,4.82589470971683,2.584870783343348,1.6735734075259214,3.8339894039313203,1.9752286614614907,1.2607023611571404,62.0,61.0,68.0,1.6726970775586107,0.9863013698630136,True,True,
Calibrated-LSTM-LogTarget-Small-scale_qlike,calibrated_neural,validation_calibration,False,4.870820042694253,2.559261010068737,1.6938538454084289,3.8581302462083475,2.0021477889509476,1.2617717236583765,63.0,63.0,69.0,1.7042172581400863,0.9178082191780822,True,True,
Calibrated-LSTM-LogTarget-Small-affine_nonnegative,calibrated_neural,validation_calibration,False,4.870495588030022,2.562816750325359,1.6938485199719044,3.859583364654549,2.007251373117045,1.263195570834396,64.0,64.0,70.0,1.7097332332783817,0.9178082191780822,True,True,
Calibrated-Hybrid-QLIKE-scale_mean,calibrated_neural,validation_calibration,False,4.801572910539142,2.5560645073953987,1.661751619199933,3.8461248627778617,2.0273910495666403,1.2773078561318574,65.0,62.0,71.0,1.728828405847202,0.9726027397260274,True,True,
Calibrated-LSTM-LogTarget-Small-scale_mean,calibrated_neural,validation_calibration,False,4.86673726454723,2.6181005911869746,1.6949772942497563,3.8831155746494064,2.0857517076369616,1.2849862516221993,66.0,69.0,73.0,1.7936645979422992,0.8767123287671232,True,True,
RollingVol-20,baseline,original_existing_model,False,4.930623672036168,2.5583602262637064,1.7931683169607369,3.875261433052698,1.4760673691059205,1.2853466841404533,67.0,68.0,22.0,1.0141237856858552,0.9333333333333333,True,True,
RollingVol-10,baseline,original_existing_model,False,4.861983925640383,2.461529445498201,2.0099138921274444,3.952644986503475,1.4967875561215123,1.3249633672509022,68.0,72.0,25.0,1.0186499475743458,0.9333333333333333,True,True,
RollingVol-5,baseline,original_existing_model,False,5.062039678723413,2.4873813873103914,2.999134209357486,3.9870331884162753,1.5042699109867044,1.9946473846036525,69.0,73.0,26.0,0.9978526333757741,0.8666666666666667,False,False,
Hybrid-LogTarget,original_neural_or_hybrid,original_existing_model,False,5.187524899046371,2.014338089478917,4.333756584932176,3.867812570832169,1.1092997951469603,2.0863595613632993,70.0,66.0,3.0,0.2801267274890308,1.0,False,False,
Hybrid-LogTarget-Small,original_neural_or_hybrid,original_existing_model,False,5.145894508088207,2.0091481713314554,3.8913356616340953,3.8680675726207743,1.1081647402489878,2.232917375355168,71.0,67.0,1.0,0.275325039523549,1.0,False,False,
LSTM-LogTarget-Small,original_neural_or_hybrid,original_existing_model,False,5.257866924790051,2.035712826362225,4.939853270108503,3.888175741538346,1.1235456755796545,2.2814987601126595,72.0,70.0,4.0,0.28282966490384237,1.0,False,False,
LSTM-LogTarget,original_neural_or_hybrid,original_existing_model,False,5.159188956365921,2.009581849069528,4.371889110253753,3.866882195152324,1.1086255618796224,2.301501785580888,73.0,65.0,2.0,0.25539797721684065,1.0,False,False,
