base_model,model,method,pred_actual_ratio,spike_underprediction_rate,extreme_threshold_p90,test_QLIKE,test_MAE
LSTM-QLIKE,Calibrated-LSTM-QLIKE-affine_nonnegative,affine_nonnegative,1.5593004748078723,1.0,2.3757100683268773,1.2311593233589233,1.873142701501157
LSTM-QLIKE,Calibrated-LSTM-QLIKE-isotonic,isotonic,1.3573535244779913,0.958904109589041,2.3757100683268773,1.1373000209295079,1.6648306780517066
Hybrid-QLIKE,Hybrid-QLIKE,raw,1.549292798881524,0.9863013698630136,2.3757100683268773,1.2305083298195814,1.862578359682915
Hybrid-QLIKE,Calibrated-Hybrid-QLIKE-scale_qlike,scale_qlike,1.5853804640865001,0.9863013698630136,2.3757100683268773,1.2397588108190973,1.8951567343513498
Hybrid-QLIKE,Calibrated-Hybrid-QLIKE-scale_mean,scale_mean,1.728828405847202,0.9726027397260274,2.3757100683268773,1.2773078561318574,2.0273910495666403
Hybrid-QLIKE,Calibrated-Hybrid-QLIKE-affine_nonnegative,affine_nonnegative,1.603419276140428,0.9863013698630136,2.3757100683268773,1.2444194621895985,1.9116014853289809
Hybrid-QLIKE,Calibrated-Hybrid-QLIKE-isotonic,isotonic,1.3655975143537271,0.9041095890410958,2.3757100683268773,1.1034729304844182,1.6261022338779507
LSTM-LogTarget,LSTM-LogTarget,raw,0.25539797721684065,1.0,2.3757100683268773,2.301501785580888,1.1086255618796224
LSTM-LogTarget,Calibrated-LSTM-LogTarget-scale_qlike,scale_qlike,1.4035162758121236,0.958904109589041,2.3757100683268773,1.12475012929135,1.684010892325915
LSTM-LogTarget,Calibrated-LSTM-LogTarget-scale_mean,scale_mean,1.3735328007163872,0.958904109589041,2.3757100683268773,1.117143871889657,1.6596475174595569
LSTM-LogTarget,Calibrated-LSTM-LogTarget-affine_nonnegative,affine_nonnegative,1.39761557459211,0.958904109589041,2.3757100683268773,1.1245976523852417,1.6803122574250178
LSTM-LogTarget,Calibrated-LSTM-LogTarget-isotonic,isotonic,1.3834975761656936,0.9315068493150684,2.3757100683268773,1.0896823978540977,1.6662525797436962
LSTM-LogTarget-Small,LSTM-LogTarget-Small,raw,0.28282966490384237,1.0,2.3757100683268773,2.2814987601126595,1.1235456755796545
LSTM-LogTarget-Small,Calibrated-LSTM-LogTarget-Small-scale_qlike,scale_qlike,1.7042172581400863,0.9178082191780822,2.3757100683268773,1.2617717236583765,2.0021477889509476
LSTM-LogTarget-Small,Calibrated-LSTM-LogTarget-Small-scale_mean,scale_mean,1.7936645979422992,0.8767123287671232,2.3757100683268773,1.2849862516221993,2.085751707636962
LSTM-LogTarget-Small,Calibrated-LSTM-LogTarget-Small-affine_nonnegative,affine_nonnegative,1.7097332332783817,0.9178082191780822,2.3757100683268773,1.263195570834396,2.007251373117045
LSTM-LogTarget-Small,Calibrated-LSTM-LogTarget-Small-isotonic,isotonic,1.7488439963452467,0.8082191780821918,2.3757100683268773,1.2091521864916113,2.0450107893472413
Hybrid-LogTarget,Hybrid-LogTarget,raw,0.2801267274890308,1.0,2.3757100683268773,2.0863595613632993,1.1092997951469603
Hybrid-LogTarget,Calibrated-Hybrid-LogTarget-scale_qlike,scale_qlike,1.539410866151987,0.9315068493150684,2.3757100683268773,1.1712243305232213,1.8055780497805993
Hybrid-LogTarget,Calibrated-Hybrid-LogTarget-scale_mean,scale_mean,1.5883032979577145,0.9315068493150684,2.3757100683268773,1.1845566594387769,1.8486030485439426
