model,regime,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio
HAR-Parkinson,extreme,73,10.984791839097031,6.285383414228521,6.336660228813842,7.95855861532247,1.8105172594415013,0.22749311112137127
HAR-SquaredReturn,extreme,73,10.75088748057751,6.182088265997913,6.455086320341293,7.95855861532247,1.98629814036574,0.24958013584791042
AdvGARCH-BestAsymmetric,extreme,73,10.755788635796362,6.17886126248768,6.713467449266442,7.95855861532247,1.9416100292110499,0.2439650347580406
AdvGARCH-BestQLIKE,extreme,73,10.832839427028892,6.21644678976907,6.730396386913823,7.95855861532247,1.9137042060516096,0.2404586431476661
"GARCH(1,1)",extreme,73,10.706731074660434,6.061753156828092,6.765874035642129,7.95855861532247,2.0950753459593923,0.2632480889096904
ARIMA-GARCH,extreme,73,10.807394450866337,6.115531406874898,6.769566430571942,7.95855861532247,2.0291472969108755,0.2549641706482119
HistoricalMean,extreme,73,11.658214333240803,6.759785706881024,6.820219439989177,7.95855861532247,1.198772908441445,0.15062688690053358
EWMA(lambda=0.90),extreme,73,10.866877455355942,6.1233537295434735,8.425363805239519,7.95855861532247,1.9861249849254916,0.2495583787121503
RollingVol-10,extreme,73,10.867128087179962,6.140358353692269,8.835229191950626,7.95855861532247,2.0512929935865696,0.2577467972199453
RollingVol-20,extreme,73,11.273509836716183,6.32254257841221,8.917016822542253,7.95855861532247,1.7817480823826668,0.2238782383222383
RollingVol-5,extreme,73,10.743529783680831,6.453234069921476,10.37078046942451,7.95855861532247,2.391402291810429,0.300481834387235
LSTM,high,109,0.39817103903132295,0.32653554021127573,1.4256096495577903,1.524715411321571,1.6237442405945663,1.0649490577308198
ARIMA-GARCH-LSTM,high,109,0.5953063701225754,0.46666459804741955,1.4447995038185506,1.524715411321571,1.8453395968183466,1.210284609912134
Hybrid-QLIKE,high,109,0.5493687606230565,0.47128050955076917,1.4462317865099157,1.524715411321571,1.941907551310478,1.2736196780665443
HistoricalMean,high,109,0.4869024186780483,0.35933598014273904,1.453195244918153,1.524715411321571,1.1987729084414447,0.7862273179244574
ComboStack-PoolD_AllStable,high,109,0.7755243472107982,0.5980245126041169,1.4694710968869784,1.524715411321571,1.8700468419191827,1.2264891061200005
Calibrated-Hybrid-LogTarget-Small-isotonic,high,109,0.7038022808401815,0.5473591984313295,1.4747525366690166,1.524715411321571,1.7512827275013703,1.1485964623282836
HAR-Parkinson,high,109,0.9836213822483951,0.7298111000431817,1.6258946425714038,1.524715411321571,1.407547654201241,0.923154343262804
HAR-SquaredReturn,high,109,1.7301522334852197,0.8809533226876692,1.6311746463627743,1.524715411321571,1.5248180147239685,1.0000672934776127
AdvGARCH-BestQLIKE,high,109,1.3407092251526993,0.8542860381319939,1.7389198827121555,1.524715411321571,1.4203754625017115,0.9315675908795195
AdvGARCH-BestAsymmetric,high,109,1.461109589779481,0.8813676547310852,1.7427497109080214,1.524715411321571,1.4363306183861295,0.9420319409909862
ARIMA-GARCH,high,109,1.9883545736318824,1.0331408335922219,1.7524436129932222,1.524715411321571,1.6270671151450204,1.0671283985611022
"GARCH(1,1)",high,109,2.0748328921464454,1.0593949933789668,1.7611377091261422,1.524715411321571,1.647068939138992,1.0802467968178857
EWMA(lambda=0.90),high,109,2.0575350486918826,1.117736257420094,2.0413879430879627,1.524715411321571,1.655867866793287,1.0860176623767692
RollingVol-20,high,109,2.0115997913828174,1.1428258498517283,2.1755236805601577,1.524715411321571,1.6484435281425371,1.0811483348972795
RollingVol-10,high,109,3.1219878325144568,1.4846169984667081,2.617305811322152,1.524715411321571,1.766975134574265,1.1588884859783188
RollingVol-5,high,109,4.329554424815364,1.7660184716462066,4.582357094100241,1.524715411321571,1.962168840763181,1.2869082493646735
HAR-SquaredReturn,normal,181,0.9199591966561999,0.5683126812960013,0.5983849112452834,0.5659998940002497,1.0948264514383337,1.9343227146220112
AdvGARCH-BestAsymmetric,normal,181,0.9162864750495023,0.5724592648629231,0.5987363059221956,0.5659998940002497,1.042401161168058,1.8416985095187985
HAR-Parkinson,normal,181,0.8153575056653193,0.5599106259408935,0.6011217758128194,0.5659998940002497,1.0806829064338466,1.9093341145278901
AdvGARCH-BestQLIKE,normal,181,0.9223603356776845,0.5820997399442878,0.6033321981149963,0.5659998940002497,1.0483591359631663,1.852224968725354
"GARCH(1,1)",normal,181,1.2542033438459785,0.6919735466371466,0.6289612316531383,0.5659998940002497,1.1588135334864054,2.047374117504506
ARIMA-GARCH,normal,181,1.2486085523251313,0.6984326233989804,0.6317406891056443,0.5659998940002497,1.1633112390084126,2.055320595180004
HistoricalMean,normal,181,0.6660219996801673,0.6327730144411954,0.653447844413606,0.5659998940002497,1.1987729084414447,2.1179737331203734
EWMA(lambda=0.90),normal,181,1.3846339982943368,0.775576065447467,0.7093064064501218,0.5659998940002497,1.156379468990579,2.0430736493920065
RollingVol-20,normal,181,1.5722957113403302,0.8188946829403327,0.7513968906804052,0.5659998940002497,1.1605811114666844,2.0504970473831436
LSTM,normal,181,1.0315801242056808,0.995879183668757,0.8041246123401962,0.5659998940002497,1.5618790776690066,2.7595041875896844
Calibrated-Hybrid-LogTarget-Small-isotonic,normal,181,1.1877016456373428,1.0419136087568477,0.8051917067597936,0.5659998940002497,1.60518551718721,2.8360173459440645
ComboStack-PoolD_AllStable,normal,181,1.2511742829775496,1.110590697624841,0.8331341876631704,0.5659998940002497,1.6765269454821614,2.9620622958657687
ARIMA-GARCH-LSTM,normal,181,1.190269482987435,1.125739158698507,0.8515515190460925,0.5659998940002497,1.691739052698757,2.988938815416122
RollingVol-10,normal,181,2.2380635454722957,0.9356311706739572,0.8855589291909068,0.5659998940002497,1.2095378457176176,2.1369930604917813
Hybrid-QLIKE,normal,181,1.3241294008488296,1.302166071238079,0.9258829802535641,0.5659998940002497,1.868165965238329,3.3006471998341125
RollingVol-5,normal,181,1.5154526781515072,0.7778825160673988,1.7508334813245747,0.5659998940002497,0.9840661870034348,1.738633164837661
